,Accuracy,Optimiser,Hidden_Layer,Hidden_Layer1,Hidden_Layer2,Batch,F1_score,F1_score_,FN,FN_,FP,FP_,N_ReCall,N_ReCall_,P_ReCall,P_ReCall_,TN,TN_,TP,TP_
856,61.606353521347046,adam,14,13,19,10,0.61,0.46,149.0,39.0,33.0,396.0,0.9707964601769912,0.5629139072847682,0.4862068965517241,0.8281938325991189,1097.0,510.0,141.0,188.0
857,53.39806079864502,sgd,14,13,19,10,0.47,0.42,191.0,33.0,29.0,495.0,0.9743362831858408,0.45364238410596025,0.3413793103448276,0.8546255506607929,1101.0,411.0,99.0,194.0
858,62.40070462226868,adam,14,13,21,10,0.65,0.47,141.0,35.0,18.0,391.0,0.984070796460177,0.5684326710816777,0.5137931034482759,0.8458149779735683,1112.0,515.0,149.0,192.0
859,56.487202644348145,sgd,14,13,21,10,0.45,0.44,200.0,37.0,20.0,456.0,0.9823008849557522,0.4966887417218543,0.3103448275862069,0.8370044052863436,1110.0,450.0,90.0,190.0
860,45.10149955749512,adam,14,13,23,10,0.6,0.41,137.0,12.0,64.0,610.0,0.9433628318584071,0.32671081677704195,0.5275862068965518,0.947136563876652,1066.0,296.0,153.0,215.0
861,45.54280638694763,sgd,14,13,23,10,0.5,0.41,175.0,15.0,59.0,602.0,0.947787610619469,0.3355408388520971,0.39655172413793105,0.933920704845815,1071.0,304.0,115.0,212.0
862,57.369816303253174,adam,14,13,25,10,0.63,0.44,138.0,37.0,41.0,446.0,0.963716814159292,0.5077262693156733,0.5241379310344828,0.8370044052863436,1089.0,460.0,152.0,190.0
863,55.51632642745972,sgd,14,13,25,10,0.46,0.44,184.0,31.0,66.0,473.0,0.9415929203539823,0.47792494481236203,0.36551724137931035,0.8634361233480177,1064.0,433.0,106.0,196.0
864,51.72109603881836,adam,14,13,27,10,0.64,0.42,138.0,26.0,35.0,521.0,0.9690265486725663,0.4249448123620309,0.5241379310344828,0.8854625550660793,1095.0,385.0,152.0,201.0
865,59.135037660598755,sgd,14,13,27,10,0.48,0.45,183.0,39.0,46.0,424.0,0.95929203539823,0.5320088300220751,0.3689655172413793,0.8281938325991189,1084.0,482.0,107.0,188.0
866,46.2488979101181,adam,14,13,29,10,0.66,0.4,136.0,23.0,26.0,586.0,0.9769911504424779,0.35320088300220753,0.5310344827586206,0.8986784140969163,1104.0,320.0,154.0,204.0
867,39.187997579574585,sgd,14,13,29,10,0.53,0.38,158.0,14.0,74.0,675.0,0.9345132743362832,0.25496688741721857,0.45517241379310347,0.9383259911894273,1056.0,231.0,132.0,213.0
868,36.18711531162262,adam,14,15,3,10,0.62,0.38,134.0,9.0,57.0,714.0,0.9495575221238938,0.2119205298013245,0.5379310344827586,0.960352422907489,1073.0,192.0,156.0,218.0
869,78.9055585861206,sgd,14,15,3,10,0.38,0.56,216.0,76.0,22.0,163.0,0.9805309734513274,0.8200883002207505,0.25517241379310346,0.6651982378854625,1108.0,743.0,74.0,151.0
870,43.2480126619339,adam,14,15,5,10,0.6,0.39,138.0,19.0,63.0,624.0,0.9442477876106194,0.31125827814569534,0.5241379310344828,0.9162995594713657,1067.0,282.0,152.0,208.0
871,42.10061728954315,sgd,14,15,5,10,0.51,0.39,179.0,13.0,36.0,643.0,0.968141592920354,0.2902869757174393,0.38275862068965516,0.9427312775330396,1094.0,263.0,111.0,214.0
872,53.48631739616394,adam,14,15,7,10,0.59,0.43,152.0,25.0,43.0,502.0,0.9619469026548673,0.445916114790287,0.47586206896551725,0.8898678414096917,1087.0,404.0,138.0,202.0
873,77.05207467079163,sgd,14,15,7,10,0.43,0.56,203.0,64.0,30.0,196.0,0.9734513274336283,0.7836644591611479,0.3,0.7180616740088106,1100.0,710.0,87.0,163.0
874,42.98323094844818,adam,14,15,9,10,0.59,0.39,149.0,24.0,44.0,622.0,0.9610619469026549,0.31346578366445915,0.4862068965517241,0.8942731277533039,1086.0,284.0,141.0,203.0
875,41.12974405288696,sgd,14,15,9,10,0.55,0.39,158.0,13.0,55.0,654.0,0.9513274336283186,0.2781456953642384,0.45517241379310347,0.9427312775330396,1075.0,252.0,132.0,214.0
876,58.075904846191406,adam,14,15,11,10,0.64,0.45,141.0,31.0,24.0,444.0,0.9787610619469026,0.5099337748344371,0.5137931034482759,0.8634361233480177,1106.0,462.0,149.0,196.0
877,42.54192411899567,sgd,14,15,11,10,0.53,0.39,156.0,21.0,82.0,630.0,0.9274336283185841,0.304635761589404,0.46206896551724136,0.9074889867841409,1048.0,276.0,134.0,206.0
878,49.602824449539185,adam,14,15,13,10,0.62,0.42,145.0,20.0,31.0,551.0,0.9725663716814159,0.39183222958057395,0.5,0.9118942731277533,1099.0,355.0,145.0,207.0
879,50.66195726394653,sgd,14,15,13,10,0.48,0.43,140.0,19.0,181.0,540.0,0.8398230088495575,0.40397350993377484,0.5172413793103449,0.9162995594713657,949.0,366.0,150.0,208.0
880,49.9558687210083,adam,14,15,15,10,0.61,0.42,154.0,25.0,22.0,542.0,0.9805309734513274,0.40176600441501104,0.4689655172413793,0.8898678414096917,1108.0,364.0,136.0,202.0
881,54.19241189956665,sgd,14,15,15,10,0.52,0.44,179.0,24.0,22.0,495.0,0.9805309734513274,0.45364238410596025,0.38275862068965516,0.8942731277533039,1108.0,411.0,111.0,203.0
